0,1,2,3,4,5
,? Summer,01 !,02 !,03 !,Total
Japan (JPN),21,130,126,142,398
Kazakhstan (KAZ),5,16,17,19,52
Kenya (KEN),13,25,32,29,86
North Korea (PRK),9,14,12,21,47
South Korea (KOR),16,81,82,80,243
Kuwait (KUW),12,0,0,2,2
Kyrgyzstan (KGZ),5,0,1,2,3
Latvia (LAT),10,3,11,5,19
Lebanon (LIB),16,0,2,2,4
Liechtenstein (LIE),16,0,0,0,0
Lithuania (LTU),8,6,5,10,21
Luxembourg (LUX) [O],22,1,1,0,2
Macedonia (MKD),5,0,0,1,1
Malaysia (MAS) [MAS],12,0,3,3,6
Mauritius (MRI),8,0,0,1,1
Mexico (MEX),22,13,21,28,62
Moldova (MDA),5,0,2,5,7
Mongolia (MGL),12,2,9,13,24
Montenegro (MNE),2,0,1,0,1
Morocco (MAR),13,6,5,11,22
Mozambique (MOZ),9,1,0,1,2
Namibia (NAM),6,0,4,0,4
Netherlands (NED) [Z],25,77,85,104,266
Netherlands Antilles (AHO) [AHO] [I],13,0,1,0,1
New Zealand (NZL) [NZL],22,42,18,39,99
Niger (NIG),11,0,0,1,1
Nigeria (NGR),15,3,8,12,23
Norway (NOR) [Q],24,56,49,43,148
Pakistan (PAK),16,3,3,4,10
Panama (PAN),16,1,0,2,3
Paraguay (PAR),11,0,1,0,1
Peru (PER) [L],17,1,3,0,4
Philippines (PHI),20,0,2,7,9
Poland (POL),20,64,82,125,271
Portugal (POR),23,4,8,11,23
Puerto Rico (PUR),17,0,2,6,8
Qatar (QAT),8,0,0,4,4
Romania (ROU),20,88,94,119,301
Russia (RUS) [RUS],5,132,121,142,395
Russian Empire (RU1) [RU1],3,1,4,3,8
Soviet Union (URS) [URS],9,395,319,296,1010
Unified Team (EUN) [EUN],1,45,38,29,112
Saudi Arabia (KSA),10,0,1,2,3
Senegal (SEN),13,0,1,0,1
Serbia (SRB) [SRB],3,1,2,4,7
Serbia and Montenegro (SCG) [SCG],3,2,4,3,9
Singapore (SIN),15,0,2,2,4
Slovakia (SVK) [SVK],5,7,9,8,24
Slovenia (SLO),6,4,6,9,19
South Africa (RSA),18,23,26,27,76
Spain (ESP) [Z],22,37,59,35,131
Sri Lanka (SRI) [SRI],16,0,2,0,2
Sudan (SUD),11,0,1,0,1
Suriname (SUR) [E],11,1,0,1,2
Sweden (SWE) [Z],26,143,164,176,483
Switzerland (SUI),27,47,73,65,185
Syria (SYR),12,1,1,1,3
Chinese Taipei (TPE) [TPE] [TPE2],13,2,7,12,21
Tajikistan (TJK),5,0,1,2,3
Tanzania (TAN) [TAN],12,0,2,0,2
Thailand (THA),15,7,6,11,24
Togo (TOG),9,0,0,1,1
Tonga (TGA),8,0,1,0,1
Trinidad and Tobago (TRI) [TRI],16,2,5,11,18
Tunisia (TUN),13,3,3,4,10
Turkey (TUR),21,39,25,24,88
Uganda (UGA),14,2,3,2,7
Ukraine (UKR),5,33,27,55,115
United Arab Emirates (UAE),8,1,0,0,1
United States (USA) [P] [Q] [R] [Z],26,976,757,666,2399
Uruguay (URU),20,2,2,6,10
Uzbekistan (UZB),5,5,5,10,20
Venezuela (VEN),17,2,2,8,12
Vietnam (VIE),14,0,2,0,2
Virgin Islands (ISV),11,0,1,0,1
Yugoslavia (YUG) [YUG],16,26,29,28,83
Independent Olympic Participants (IOP) [IOP],1,0,1,2,3
Zambia (ZAM) [ZAM],12,0,1,1,2
Zimbabwe (ZIM) [ZIM],12,3,4,1,8
Mixed team (ZZX) [ZZX],3,8,5,4,17
